text,label
Peak-to-peak vibration amplitude is stable across measurement cycles. Spectral analysis reveals a flat and uniform frequency distribution. No characteristic fault frequencies are present in the spectrum. No significant vibration spikes are detected in the time domain. The machinery runs smoothly without any unusual acoustic emissions. No abnormal wear patterns are detected during inspection.,0
The bearing operates under normal conditions with no signs of degradation. No sideband frequencies are observed around the main spectral peaks. No significant vibration spikes are detected in the time domain.,0
The vibration amplitude shows modulation at the shaft rotation frequency. The bearing shows signs of inner race spalling or pitting. Ball pass frequency inner race (BPFI) components dominate the spectrum. High-frequency periodic impulses are detected in the vibration signal.,1
Surface spalling on rolling elements leads to unstable vibration patterns. Spectral components at twice the ball spin frequency indicate rolling element damage. Cage frequency sidebands surround the ball defect frequency peaks. The time-domain signal shows intermittent bursts of high vibration. The impact pattern is irregular due to rolling element defect orientation changes. Ball surface damage causes intermittent contact anomalies.,3
The bearing operates under normal conditions with no signs of degradation. No sideband frequencies are observed around the main spectral peaks. Vibration signals show minimal fluctuation during operation. RMS vibration values are well below the warning threshold.,0
An inner race defect is developing on the bearing surface. The vibration amplitude shows modulation at the shaft rotation frequency. The inner race fault characteristic frequency and its harmonics are prominent.,1
No characteristic fault frequencies are present in the spectrum. The frequency domain is clean with only shaft rotation frequency visible. All monitoring parameters indicate healthy bearing condition. No significant vibration spikes are detected in the time domain. The vibration amplitude remains at a low and stable level.,0
Outer race defect frequency components maintain stable amplitude over time. Stationary outer race damage produces consistent impact patterns. Vibration levels increase in the low-to-mid frequency range. The shock pulse pattern is consistent with outer race surface defects. The outer race fault characteristic frequency (BPFO) is clearly visible.,2
Periodic transient impacts are observed in the vibration waveform. The fault is located on the inner raceway of the bearing. Impulsive vibration components appear at regular intervals corresponding to inner race defect. Localized damage on the inner race causes periodic impact excitation. The inner race fault characteristic frequency and its harmonics are prominent.,1
The envelope spectrum reveals ball fault frequency modulated by cage speed. Non-periodic transient spikes indicate rolling element surface damage. Ball fault severity is assessed through changes in vibration statistical indicators.,3
Outer race pitting creates periodic loading variation on rolling elements. Envelope spectrum peaks correspond to outer race characteristic frequency. Ball pass frequency outer race dominates the lower frequency spectrum. Periodic impulsive behavior is observed without shaft speed modulation.,2
The envelope spectrum reveals ball fault frequency modulated by cage speed. A rolling element defect is present in the bearing. The vibration amplitude fluctuates unpredictably during operation. Surface spalling on rolling elements leads to unstable vibration patterns. Cage frequency sidebands surround the ball defect frequency peaks.,3
Ball pass frequency inner race (BPFI) components dominate the spectrum. The time-domain signal exhibits sharp spikes with high crest factor. Inner race fault progression is indicated by increasing vibration severity. The fault is located on the inner raceway of the bearing. Vibration energy increases notably in the high-frequency band.,1
Repetitive impacts at constant intervals indicate outer race damage. Outer race defect frequency components maintain stable amplitude over time. Periodic impulsive behavior is observed without shaft speed modulation. Multiple harmonics of the outer race defect frequency are present. The fault location on the outer race is confirmed by directional vibration analysis.,2
The bearing operates under normal conditions with no signs of degradation. All monitoring parameters indicate healthy bearing condition. Spectral energy is concentrated at the fundamental rotation frequency. The bearing vibration is smooth with consistent amplitude.,0
Operating temperature and noise levels are within acceptable limits. No sideband frequencies are observed around the main spectral peaks. The overall vibration intensity is within the normal operating range.,0
The vibration signal shows amplitude modulation at outer race defect frequency. Multiple harmonics of the outer race defect frequency are present. The fault location on the outer race is confirmed by directional vibration analysis. Outer race pitting creates periodic loading variation on rolling elements. Periodic impulsive behavior is observed without shaft speed modulation.,2
Inner race surface degradation is detected through vibration monitoring. Ball pass frequency inner race (BPFI) components dominate the spectrum. High-frequency periodic impulses are detected in the vibration signal. The frequency spectrum reveals inner race defect frequency at multiple harmonics.,1
The rolling element fault produces variable vibration depending on defect orientation. Cage frequency sidebands surround the ball defect frequency peaks. Non-periodic transient spikes indicate rolling element surface damage. Ball fault severity is assessed through changes in vibration statistical indicators. The vibration amplitude fluctuates unpredictably during operation.,3
The frequency domain is clean with only shaft rotation frequency visible. The bearing vibration is smooth with consistent amplitude. The machinery runs smoothly without any unusual acoustic emissions. Peak-to-peak vibration amplitude is stable across measurement cycles.,0
The rolling element fault produces variable vibration depending on defect orientation. Spectral components at twice the ball spin frequency indicate rolling element damage. Non-periodic transient spikes indicate rolling element surface damage. The time-domain signal shows intermittent bursts of high vibration. Ball fault severity is assessed through changes in vibration statistical indicators. Ball spin frequency (BSF) components appear in the frequency spectrum.,3
The fault is located on the inner raceway of the bearing. Vibration energy increases notably in the high-frequency band. Envelope analysis highlights the inner race fault frequency.,1
Outer race fault is identified through characteristic frequency analysis. The time-domain signal contains periodic transients with moderate amplitude. Multiple harmonics of the outer race defect frequency are present. The outer race fault characteristic frequency (BPFO) is clearly visible.,2
The vibration amplitude remains at a low and stable level. No sideband frequencies are observed around the main spectral peaks. The bearing vibration is smooth with consistent amplitude. The bearing operates under normal conditions with no signs of degradation. The frequency domain is clean with only shaft rotation frequency visible.,0
The bearing exhibits outer raceway surface damage. The outer race fault characteristic frequency (BPFO) is clearly visible. Outer race pitting creates periodic loading variation on rolling elements. The shock pulse pattern is consistent with outer race surface defects. The frequency spectrum shows BPFO with limited sideband activity.,2
The bearing operates under normal conditions with no signs of degradation. No sideband frequencies are observed around the main spectral peaks. No abnormal wear patterns are detected during inspection. The vibration amplitude remains at a low and stable level. The frequency domain is clean with only shaft rotation frequency visible.,0
Spectral components at twice the ball spin frequency indicate rolling element damage. A rolling element defect is present in the bearing. Amplitude instability in vibration suggests rolling element surface irregularity.,3
Sidebands spaced at shaft speed appear around the BPFI peaks. High-frequency periodic impulses are detected in the vibration signal. The fault is located on the inner raceway of the bearing. The kurtosis value of vibration signal is elevated indicating impulsive behavior. The bearing shows signs of inner race spalling or pitting. The inner race fault characteristic frequency and its harmonics are prominent.,1
An outer race defect has developed on the bearing. Low-frequency periodic impulses characterize the vibration pattern. Envelope spectrum peaks correspond to outer race characteristic frequency.,2
Ball spin frequency (BSF) components appear in the frequency spectrum. Ball fault severity is assessed through changes in vibration statistical indicators. The rolling element fault produces variable vibration depending on defect orientation. The impact pattern is irregular due to rolling element defect orientation changes. The time-domain signal shows intermittent bursts of high vibration.,3
Envelope analysis highlights the inner race fault frequency. The fault is located on the inner raceway of the bearing. The inner race fault characteristic frequency and its harmonics are prominent. The kurtosis value of vibration signal is elevated indicating impulsive behavior. High-frequency periodic impulses are detected in the vibration signal.,1
The vibration amplitude remains at a low and stable level. Spectral energy is concentrated at the fundamental rotation frequency. The bearing operates under normal conditions with no signs of degradation. No significant vibration spikes are detected in the time domain. Spectral analysis reveals a flat and uniform frequency distribution. Operating temperature and noise levels are within acceptable limits.,0
Envelope analysis highlights the inner race fault frequency. The kurtosis value of vibration signal is elevated indicating impulsive behavior. Periodic transient impacts are observed in the vibration waveform. The fault is located on the inner raceway of the bearing. Ball pass frequency inner race (BPFI) components dominate the spectrum. Localized damage on the inner race causes periodic impact excitation.,1
Stationary outer race damage produces consistent impact patterns. The frequency spectrum shows BPFO with limited sideband activity. Envelope spectrum peaks correspond to outer race characteristic frequency. The fault location on the outer race is confirmed by directional vibration analysis. Vibration levels increase in the low-to-mid frequency range.,2
The vibration signal shows amplitude modulation at outer race defect frequency. Envelope spectrum peaks correspond to outer race characteristic frequency. An outer race defect has developed on the bearing. Vibration levels increase in the low-to-mid frequency range. Stationary outer race damage produces consistent impact patterns.,2
Outer race defect frequency components maintain stable amplitude over time. Ball pass frequency outer race dominates the lower frequency spectrum. The fault location on the outer race is confirmed by directional vibration analysis. The time-domain signal contains periodic transients with moderate amplitude.,2
Periodic transient impacts are observed in the vibration waveform. An inner race defect is developing on the bearing surface. The frequency spectrum reveals inner race defect frequency at multiple harmonics. High-frequency resonance bands are excited by inner race fault impacts.,1
An outer race defect has developed on the bearing. Low-frequency periodic impulses characterize the vibration pattern. Outer race defect frequency components maintain stable amplitude over time.,2
The bearing lubrication condition is adequate and effective. RMS vibration values are well below the warning threshold. No sideband frequencies are observed around the main spectral peaks. Spectral energy is concentrated at the fundamental rotation frequency.,0
Ball spin frequency (BSF) components appear in the frequency spectrum. The impact pattern is irregular due to rolling element defect orientation changes. Ball fault severity is assessed through changes in vibration statistical indicators. Vibration characteristics change with bearing cage rotation.,3
Spectral analysis reveals a flat and uniform frequency distribution. Peak-to-peak vibration amplitude is stable across measurement cycles. The bearing lubrication condition is adequate and effective. RMS vibration values are well below the warning threshold. The frequency spectrum shows no abnormal peaks or harmonic components. The bearing operates under normal conditions with no signs of degradation.,0
The spectrum contains rolling element defect frequency with cage frequency modulation. Ball fault severity is assessed through changes in vibration statistical indicators. Amplitude instability in vibration suggests rolling element surface irregularity.,3
Inner race surface degradation is detected through vibration monitoring. An inner race defect is developing on the bearing surface. Envelope analysis highlights the inner race fault frequency. The kurtosis value of vibration signal is elevated indicating impulsive behavior. Periodic transient impacts are observed in the vibration waveform.,1
The kurtosis value of vibration signal is elevated indicating impulsive behavior. The bearing shows signs of inner race spalling or pitting. The frequency spectrum reveals inner race defect frequency at multiple harmonics. Sidebands spaced at shaft speed appear around the BPFI peaks. Impulsive vibration components appear at regular intervals corresponding to inner race defect.,1
The machinery runs smoothly without any unusual acoustic emissions. Spectral analysis reveals a flat and uniform frequency distribution. Operating temperature and noise levels are within acceptable limits. The overall vibration intensity is within the normal operating range. The frequency spectrum shows no abnormal peaks or harmonic components. RMS vibration values are well below the warning threshold.,0
A rolling element defect is present in the bearing. Vibration characteristics change with bearing cage rotation. Frequency components related to ball spin frequency and its harmonics are detected. Rolling element damage creates complex fault signatures in vibration data. The spectrum contains rolling element defect frequency with cage frequency modulation.,3
Inner race fault progression is indicated by increasing vibration severity. High-frequency periodic impulses are detected in the vibration signal. The time-domain signal exhibits sharp spikes with high crest factor. Envelope analysis highlights the inner race fault frequency.,1
Stationary outer race damage produces consistent impact patterns. Periodic impulsive behavior is observed without shaft speed modulation. Multiple harmonics of the outer race defect frequency are present. Ball pass frequency outer race dominates the lower frequency spectrum.,2
The vibration signal shows amplitude modulation at outer race defect frequency. Ball pass frequency outer race dominates the lower frequency spectrum. The outer race fault characteristic frequency (BPFO) is clearly visible. Outer race pitting creates periodic loading variation on rolling elements.,2
Rolling element damage creates complex fault signatures in vibration data. Vibration characteristics change with bearing cage rotation. The time-domain signal shows intermittent bursts of high vibration. Ball fault severity is assessed through changes in vibration statistical indicators. Cage frequency sidebands surround the ball defect frequency peaks.,3
No abnormal wear patterns are detected during inspection. Vibration signals show minimal fluctuation during operation. Operating temperature and noise levels are within acceptable limits. Spectral analysis reveals a flat and uniform frequency distribution.,0
The overall vibration intensity is within the normal operating range. The machinery runs smoothly without any unusual acoustic emissions. The bearing operates under normal conditions with no signs of degradation. No characteristic fault frequencies are present in the spectrum.,0
Spectral energy is concentrated at the fundamental rotation frequency. Operating temperature and noise levels are within acceptable limits. RMS vibration values are well below the warning threshold. No sideband frequencies are observed around the main spectral peaks.,0
Ball pass frequency inner race (BPFI) components dominate the spectrum. An inner race defect is developing on the bearing surface. The fault is located on the inner raceway of the bearing. High-frequency resonance bands are excited by inner race fault impacts. Vibration energy increases notably in the high-frequency band. High-frequency periodic impulses are detected in the vibration signal.,1
The envelope spectrum reveals ball fault frequency modulated by cage speed. Surface spalling on rolling elements leads to unstable vibration patterns. Irregular and erratic impulses appear in the vibration signal. Rolling element damage creates complex fault signatures in vibration data. Ball spin frequency (BSF) components appear in the frequency spectrum.,3
Envelope spectrum peaks correspond to outer race characteristic frequency. The shock pulse pattern is consistent with outer race surface defects. Periodic impulsive behavior is observed without shaft speed modulation. An outer race defect has developed on the bearing.,2
Frequency components related to ball spin frequency and its harmonics are detected. Vibration characteristics change with bearing cage rotation. Ball fault severity is assessed through changes in vibration statistical indicators. The vibration amplitude fluctuates unpredictably during operation.,3
Non-periodic transient spikes indicate rolling element surface damage. Cage frequency sidebands surround the ball defect frequency peaks. Ball spin frequency (BSF) components appear in the frequency spectrum. Rolling element damage creates complex fault signatures in vibration data.,3
Surface spalling on rolling elements leads to unstable vibration patterns. Cage frequency sidebands surround the ball defect frequency peaks. Ball spin frequency (BSF) components appear in the frequency spectrum. Vibration characteristics change with bearing cage rotation.,3
Spectral components at twice the ball spin frequency indicate rolling element damage. The envelope spectrum reveals ball fault frequency modulated by cage speed. Ball fault severity is assessed through changes in vibration statistical indicators. Non-periodic transient spikes indicate rolling element surface damage.,3
No characteristic fault frequencies are present in the spectrum. The overall vibration intensity is within the normal operating range. All monitoring parameters indicate healthy bearing condition. The bearing lubrication condition is adequate and effective. No significant vibration spikes are detected in the time domain.,0
Peak-to-peak vibration amplitude is stable across measurement cycles. The frequency spectrum shows no abnormal peaks or harmonic components. No sideband frequencies are observed around the main spectral peaks. The machinery runs smoothly without any unusual acoustic emissions. The overall vibration intensity is within the normal operating range.,0
High-frequency resonance bands are excited by inner race fault impacts. Inner race fault progression is indicated by increasing vibration severity. Vibration energy increases notably in the high-frequency band.,1
Periodic transient impacts are observed in the vibration waveform. Sidebands spaced at shaft speed appear around the BPFI peaks. High-frequency periodic impulses are detected in the vibration signal. The fault is located on the inner raceway of the bearing. Ball pass frequency inner race (BPFI) components dominate the spectrum.,1
Outer race defect frequency components maintain stable amplitude over time. The vibration signal shows amplitude modulation at outer race defect frequency. Multiple harmonics of the outer race defect frequency are present. Vibration levels increase in the low-to-mid frequency range. The bearing exhibits outer raceway surface damage.,2
The outer race fault characteristic frequency (BPFO) is clearly visible. The frequency spectrum shows BPFO with limited sideband activity. Outer race pitting creates periodic loading variation on rolling elements. Vibration levels increase in the low-to-mid frequency range. The bearing exhibits outer raceway surface damage.,2
The frequency domain is clean with only shaft rotation frequency visible. No sideband frequencies are observed around the main spectral peaks. Operating temperature and noise levels are within acceptable limits. The overall vibration intensity is within the normal operating range. No abnormal wear patterns are detected during inspection.,0
Spectral analysis reveals a flat and uniform frequency distribution. The overall vibration intensity is within the normal operating range. The machinery runs smoothly without any unusual acoustic emissions. No characteristic fault frequencies are present in the spectrum.,0
Rolling element damage creates complex fault signatures in vibration data. Cage frequency sidebands surround the ball defect frequency peaks. The time-domain signal shows intermittent bursts of high vibration. Non-periodic transient spikes indicate rolling element surface damage. The spectrum contains rolling element defect frequency with cage frequency modulation.,3
Cage frequency sidebands surround the ball defect frequency peaks. Spectral components at twice the ball spin frequency indicate rolling element damage. Rolling element damage creates complex fault signatures in vibration data. The time-domain signal shows intermittent bursts of high vibration.,3
No significant vibration spikes are detected in the time domain. Operating temperature and noise levels are within acceptable limits. The bearing vibration is smooth with consistent amplitude. No characteristic fault frequencies are present in the spectrum. All monitoring parameters indicate healthy bearing condition.,0
The vibration amplitude remains at a low and stable level. Spectral analysis reveals a flat and uniform frequency distribution. The bearing lubrication condition is adequate and effective. RMS vibration values are well below the warning threshold.,0
Vibration levels increase in the low-to-mid frequency range. The bearing exhibits outer raceway surface damage. Envelope spectrum peaks correspond to outer race characteristic frequency. Outer race pitting creates periodic loading variation on rolling elements.,2
The shock pulse pattern is consistent with outer race surface defects. The time-domain signal contains periodic transients with moderate amplitude. The outer race fault characteristic frequency (BPFO) is clearly visible. Outer race pitting creates periodic loading variation on rolling elements.,2
Irregular and erratic impulses appear in the vibration signal. Cage frequency sidebands surround the ball defect frequency peaks. A rolling element defect is present in the bearing. The spectrum contains rolling element defect frequency with cage frequency modulation.,3
The outer race fault characteristic frequency (BPFO) is clearly visible. The time-domain signal contains periodic transients with moderate amplitude. The vibration signal shows amplitude modulation at outer race defect frequency. Outer race fault is identified through characteristic frequency analysis. The bearing exhibits outer raceway surface damage.,2
The frequency spectrum shows BPFO with limited sideband activity. Ball pass frequency outer race dominates the lower frequency spectrum. The bearing exhibits outer raceway surface damage. The shock pulse pattern is consistent with outer race surface defects. Outer race fault is identified through characteristic frequency analysis. Repetitive impacts at constant intervals indicate outer race damage.,2
The vibration amplitude fluctuates unpredictably during operation. Non-periodic transient spikes indicate rolling element surface damage. The envelope spectrum reveals ball fault frequency modulated by cage speed. Ball fault severity is assessed through changes in vibration statistical indicators.,3
The frequency spectrum shows BPFO with limited sideband activity. The outer race fault characteristic frequency (BPFO) is clearly visible. Repetitive impacts at constant intervals indicate outer race damage. Outer race fault is identified through characteristic frequency analysis. The fault location on the outer race is confirmed by directional vibration analysis.,2
Envelope spectrum peaks correspond to outer race characteristic frequency. Repetitive impacts at constant intervals indicate outer race damage. The frequency spectrum shows BPFO with limited sideband activity. Stationary outer race damage produces consistent impact patterns. Outer race fault is identified through characteristic frequency analysis.,2
The inner race fault characteristic frequency and its harmonics are prominent. Periodic transient impacts are observed in the vibration waveform. The fault is located on the inner raceway of the bearing.,1
The bearing shows signs of inner race spalling or pitting. An inner race defect is developing on the bearing surface. Envelope analysis highlights the inner race fault frequency. The time-domain signal exhibits sharp spikes with high crest factor.,1
Envelope spectrum peaks correspond to outer race characteristic frequency. Outer race fault is identified through characteristic frequency analysis. Vibration levels increase in the low-to-mid frequency range. The frequency spectrum shows BPFO with limited sideband activity. Repetitive impacts at constant intervals indicate outer race damage. Stationary outer race damage produces consistent impact patterns.,2
The vibration amplitude fluctuates unpredictably during operation. The envelope spectrum reveals ball fault frequency modulated by cage speed. Ball spin frequency (BSF) components appear in the frequency spectrum. Rolling element damage creates complex fault signatures in vibration data.,3
The frequency domain is clean with only shaft rotation frequency visible. The bearing vibration is smooth with consistent amplitude. The machinery runs smoothly without any unusual acoustic emissions. The bearing lubrication condition is adequate and effective.,0
Vibration levels increase in the low-to-mid frequency range. The bearing exhibits outer raceway surface damage. Envelope spectrum peaks correspond to outer race characteristic frequency. The time-domain signal contains periodic transients with moderate amplitude.,2
The outer race fault characteristic frequency (BPFO) is clearly visible. Periodic impulsive behavior is observed without shaft speed modulation. The shock pulse pattern is consistent with outer race surface defects. Outer race pitting creates periodic loading variation on rolling elements.,2
The impact pattern is irregular due to rolling element defect orientation changes. Surface spalling on rolling elements leads to unstable vibration patterns. Frequency components related to ball spin frequency and its harmonics are detected. The time-domain signal shows intermittent bursts of high vibration.,3
High-frequency resonance bands are excited by inner race fault impacts. Ball pass frequency inner race (BPFI) components dominate the spectrum. The fault is located on the inner raceway of the bearing. The time-domain signal exhibits sharp spikes with high crest factor.,1
Outer race defect frequency components maintain stable amplitude over time. The bearing exhibits outer raceway surface damage. Low-frequency periodic impulses characterize the vibration pattern. The frequency spectrum shows BPFO with limited sideband activity.,2
Ball pass frequency inner race (BPFI) components dominate the spectrum. Localized damage on the inner race causes periodic impact excitation. The time-domain signal exhibits sharp spikes with high crest factor. Inner race fault progression is indicated by increasing vibration severity. Envelope analysis highlights the inner race fault frequency.,1
Sidebands spaced at shaft speed appear around the BPFI peaks. Localized damage on the inner race causes periodic impact excitation. High-frequency resonance bands are excited by inner race fault impacts. The vibration amplitude shows modulation at the shaft rotation frequency. The fault is located on the inner raceway of the bearing. The time-domain signal exhibits sharp spikes with high crest factor.,1
Irregular and erratic impulses appear in the vibration signal. Ball surface damage causes intermittent contact anomalies. Cage frequency sidebands surround the ball defect frequency peaks. The time-domain signal shows intermittent bursts of high vibration. Ball spin frequency (BSF) components appear in the frequency spectrum.,3
Envelope spectrum peaks correspond to outer race characteristic frequency. The vibration signal shows amplitude modulation at outer race defect frequency. An outer race defect has developed on the bearing. Multiple harmonics of the outer race defect frequency are present. The shock pulse pattern is consistent with outer race surface defects. The fault location on the outer race is confirmed by directional vibration analysis.,2
